umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000008124,54729.43411764704,734301.5989411763,339025.0637647058,3054.840352941176,2501.1702352941174,1019.7582352941176,2238.280588235294,2130.4263529411764,1801.117764705882,4249.432588235294,888.6289411764706,3040.1848235294115,4280.491411764706,2792.8002352941176,4789.946117647059,993.2297647058824,2515.158705882353,3854.281764705883,3321.7807058823523,4005.265764705882,3405.9494117647064,3846.690352941177,0.07453263644878884,0.16143182309267556,0.8385681769073244
PO1000008127,236513.9445882353,778047.1344705882,712202.5065882351,6938.509764705882,7469.799176470588,3808.1608235294125,8421.414705882353,7377.776117647059,8836.330235294115,9888.851294117645,16183.333411764705,13284.010588235295,9484.818352941174,13250.09576470588,15945.639176470588,10895.145176470587,15107.349176470592,16847.36611764706,23451.94376470588,20358.09776470588,17646.77682352941,11318.526352941179,0.30398408285272854,0.3320880541704938,0.6679119458295062
PO1000008128,290643.3416470588,775583.5274117647,643125.9321176471,2293.7071764705884,3824.138117647059,1372.5254117647057,3396.2774117647054,4881.963176470587,11112.044470588235,21853.367647058818,21939.993176470587,32766.27317647059,18161.408117647057,16747.437176470587,27305.18752941176,13498.446,21315.920117647056,16965.276705882352,37638.66705882352,14529.383999999998,12719.180823529412,8322.144352941174,0.37474150929555966,0.4519229083020265,0.5480770916979735
PO1000008131,96406.52717647057,587779.5427058822,502487.9078823528,2661.5329411764706,2552.1575294117642,1482.3282352941176,4381.614352941177,3806.1843529411763,3906.918705882353,4844.53905882353,6037.669764705882,8332.313647058825,4301.402117647059,8191.656705882352,4979.124705882353,3780.873882352941,6269.193882352941,3277.2832941176466,6534.146470588235,6980.9728235294115,8168.269411764706,5918.3452941176465,0.16401817377422956,0.19185840229023415,0.8081415977097659
PO1000008132,63260.32376470589,401120.9788235295,379780.6496470588,2117.1769411764703,2205.339529411765,1248.4323529411763,3746.0061176470585,2350.216588235294,4035.580588235294,1173.468,4099.801764705882,2913.104823529412,1798.7872941176472,2713.369764705882,5297.16494117647,2018.4515294117646,4743.880588235294,5873.1536470588235,4347.052941176471,4681.815529411764,4304.492470588235,3593.0283529411763,0.15770883874048594,0.16657068711503745,0.8334293128849626
PO1000008133,246684.800117647,645099.3868235296,538028.7522352941,5339.617764705882,6840.688235294117,4379.347411764706,8185.525411764705,9338.45329411765,14313.688588235294,5969.488235294119,3984.9317647058824,13326.403764705883,5685.200470588235,14956.576941176469,17899.435764705882,13470.261176470587,23671.676823529415,29009.183294117647,17118.20470588235,14888.39788235294,18120.29682352941,20187.421764705883,0.38239813144502177,0.45849742991014963,0.5415025700898504
PO1000008135,304071.54952941166,784900.9450588236,692027.6368235294,10437.848117647058,6767.299411764707,1785.8135294117646,17729.974588235295,9452.85105882353,20148.40870588235,4400.24894117647,22669.79188235294,18598.569882352942,15152.872588235294,15271.256823529413,45033.964235294115,14861.094705882351,19031.245764705884,14297.804117647058,24170.09188235294,13704.234000000002,18777.126352941174,11781.052941176471,0.38740117647153977,0.4393922053823285,0.5606077946176715
PO1000008137,225627.33811764707,778740.0328235292,531159.2421176471,1644.723529411765,3802.4174117647053,2601.369176470588,7358.249294117647,4603.106470588235,12314.067882352942,19453.160470588235,12659.999647058825,24851.477294117645,8845.054941176471,9315.29682352941,24828.556941176463,4953.927529411764,11154.86011764706,12493.931647058824,23636.456470588233,13597.47494117647,11971.908000000001,15541.299529411765,0.28973383749076714,0.4247828527243674,0.5752171472756327
PO1000008138,324930.99105882354,785166.1683529409,693647.278235294,10925.099999999999,13653.634588235294,2872.874117647059,16033.478117647059,28722.695294117646,18978.582705882352,28686.716470588235,29041.406117647057,22587.37129411765,26370.825529411766,22973.362235294117,25952.140941176473,17197.57870588235,12125.22,10534.44,11834.719411764705,11374.16188235294,9303.432,5763.251647058823,0.41383722854544014,0.46843835657436655,0.5315616434256334
PO1000008140,307639.23035294114,780001.7534117645,741863.0587058823,4225.838823529412,10065.233294117646,3054.765176470589,7569.843529411764,7657.453411764707,6735.867176470589,12449.460352941174,18061.019294117646,25157.360117647062,11585.231647058823,31766.376352941177,23573.40458823529,19052.17976470588,26081.88423529412,27213.520235294112,25177.43929411765,23776.014705882353,11836.17105882353,12600.167294117648,0.39440838306749004,0.4146846601171811,0.5853153398828189
